word,clean
awhkawk,hahaha
andovi,andovi
glow,glow
dochi,dochi
gazele,gazele
iku,itu
terharu,terharu
geliu,geliu
bray,kawan
ae,ae
editing,editing
beat,beat
wait,wait
realy,realy
such,such
bangt,banget
gilak,gila
manequin,manequin
anyway,anyway
go,go
hacep,mantap
amazing,amazing
videogokil,video gokil
bugilsundaesx, bugil sundae
music,musik
bangtara,bang tara
bkin,bikin
tawuran,tawuran
kerengak, keren tidak
sbelum,sebelum
just,just
its,its
pao,pao
lagulagu,lagu lagu
ericko,ericko
gan,kawan
coy,kawan
kebahagian,kebahagian
dektik,detik
namanya,namanya
bangsad,bangsat
ketahun,ketahun
kembalikan,kembalikan
enalakunya, enak lagunya
kyra,kyra
tuh,tuh
for,for
background,background
enaknya,enaknya
wkwk,hahaha
gwp,gwp
wo,wow
sya,sya
ngedit,ngedit
mashup,mashup
favorite,favorit
alo,halo
kis,kiss
tampangamingkylezefanyagogogoypokopowjejeadrielsonalibaba, tampan gaming
hapsah,hapsah
infonya,infonya
nadie,nadie
moments,moments
editanya,editan nya
bodo,bodoh
siayapa,siapa
pertanyanya,pertanyaannya
vidnya,video nya
younf,young
yayayayayayayay,hahaha
due,due
cwe,cewek
mengabarkan,mengabarkan
vibesnya,vibesnya
woi,woi
younglex,younglex
wahahahaha,wahahahaha
directornya,directornya
cib,apa
ma,apa
salfok,salah fokus
and,dan
gemerteran,gemetar
ketjeh,mantap
hwanjir,anjay
thumb,jempol
watch,watch
komen,komentar
your,your
coronavirus,coronavirus
skinyindonesian,skinyindonesian
yeah,yeah
mamank,mamank
pngen,pengen
lengkapisyana,lengkap isyana
nanya,nanya
yok,yok
rip,rip
indovidgram,indovidgram
seneng,senang
indo,indonesia
konsepnya,konsepnya
terakhir,terakhir
liatnya,liatnya
pov,pov
kerenits,keren
dudadadidadi,dudadadidadi
jga,juga
marcow,marcow
ataupun,ataupun
sumpahkerenlove,sumpah love keren
njing,anjing
raper,raper
kereny,keren
perawatan,perawatan
gasabar,tidak sabar
kpn,kapan
tomylim,tomylim
congratulations,congratulations
scane,scane
utube,youtube
busceminya,busceminya
mna,dimana
daebak,mantap
engak,tidak
mancap,mantap
berkualitas,berkualitas
tibatiba,tiba tiba
dimenit,di menit
mantul,mantap
ap,apa
yay,hore
try,try
hubungan,hubungan
youtub,youtube
pertanyan,pertanyaan
kerasa,kerasa
redfo,redfo
kunjungi,kunjungi
emg,memang
ngakakpertama,ngakak pertama
login,login
bosen,bosan
berkali,berkali
menungu,menunggu
sejuta,sejuta
makasih,terima kasih
legends,legends
damn,mantap
han,han
hasilnya,hasilnya
youtubernya,youtubernya
yes,yes
yora,yora
atajes,atajes
eyow,eyow
kejayan,kejayan
azng,azng
kilin,kilin
gapernah,gapernah
dont,dont
fanstastic,fanstastic
ngeliatnyakeren,melihatnya keren
taulagulagunya,tau lagu lagu nya
kerend,keren
an,an
max,max
terpecahkan,terpecahkan
mendingan,mendingan
trendingkan,trendingkan
balikan,balikan
throwback,throwback
bagianya,bagianya
delay,delay
nuh,nuh
cptan,cepat
nantu,nanti
penutupan,penutupan
nunguin,nunguin
nongkrong,nongkrong
netizen,netizen
kn,kan
asek,asik
maen,main
galiat,tidak lihat
andaikan,andaikan
melihat,melihat
hay,hai
masukin,masukkin
perasan,perasaan
first,first
ytb,youtube
megang,megang
menut,menut
dumdaridamdimdam,dumdaridamdimdam
dabest,the best
kehabisan,kehabisan
chandraliow,chandraliow
menolak,menolak
kli,kali
tulisancapek,tulisan capek
cewe,cewek
bitches,bitches
des,des
pke,pakai
dislike,dislike
arts,arts
woho,woho
ginierickolim,ginierickolim
berkelas,berkelas
anjay,anjay
corbuziernya,corbuziernya
